MRI_ID,T1_slice_00,T1_slice_01,T1_slice_02,T1_slice_03,T1_slice_04,T1_slice_05,T1_slice_06,T1_slice_07,T1_slice_08,T1_slice_09,T1_slice_10,T1_slice_11,T1_slice_12,T1_slice_13,T1_slice_14,T1_slice_15,T1_slice_16,T1_slice_17,T1_slice_18,T1_slice_19,T1_slice_20,T1_slice_21,T1_slice_22,T1_slice_23,T1_slice_24,T1_slice_25,T1_slice_26,T1_slice_27,T1_slice_28,T1_slice_29,T1_slice_30,T1_slice_31,T1_slice_32,T1_slice_33,T1_slice_34,T1_slice_35,T1_slice_36,T1_slice_37,T1_slice_38,T1_slice_39,T1_slice_40,T1_slice_41,T1_slice_42,T1_slice_43,T1_slice_44,T1_slice_45,Eye
sub-0200,0.9731728006599496,0.9185705428265832,0.870066186045912,0.8097565137537042,0.8398994454800852,0.8361315790142877,0.717436137412935,0.7828839308392683,0.8146547401592412,0.8581478661392362,0.8689128002484918,0.813524380219502,0.7189092870127403,0.8942872877917367,0.8685283383160185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OD
sub-0200,0.9533278159730274,0.899285292913891,0.948115739669777,0.8593012519366564,0.8365083656608674,0.8827534298175346,0.9232977743214942,0.9553528144104684,0.924479582195222,0.8754486531005397,0.8773709627629067,0.8496958982911591,0.7776866686008812,0.8139011668660818,0.6595722404131765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS
sub-0204,0.8692972621809651,0.8278422727895329,0.8203065398579377,0.929600749648042,0.9236917102794032,0.7962483194522642,0.7012314918150785,0.8297262060224317,0.7207507240124968,0.8800621962902206,0.8123940202797626,0.7498454286086481,0.9024191685523038,0.6186124984941835,0.7821414648052131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OD
sub-0204,0.8470583917651007,0.7468991294090378,0.9154190551633092,0.9268431979426774,0.755041454562194,0.6879604067416254,0.8463048184719413,0.8037279274084281,0.7594962507665258,0.7517003574089449,0.7417431058097199,0.870066186045912,0.8800621962902206,0.6875917292568403,0.6580975304740364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS
sub-0339,1.0847002745369518,0.9639937713794572,0.9806205154552344,1.0330960196156516,1.0119092043329092,0.8917766643352057,0.9305244058045344,0.8779507961624354,0.7790905160085023,0.8888439044197696,0.8507180255190998,0.882140453184487,0.9090141756883884,0.9313679442404617,0.9157624831758066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OD
sub-0339,1.1018876364774646,0.9482387129590076,1.0688684861269202,1.0983332034455904,0.9575988698118508,0.9763572477434964,0.8863301102065386,0.9938366453616212,0.966125405235326,0.8101428541210101,0.7466867922291501,0.7870757986607336,0.7126295826599043,0.8277109827159055,0.9161842523937702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS
sub-0457,0.8444208852390425,0.8481887517048401,0.7932784553160429,0.8120172336331828,0.8236976196771555,0.7472674168089891,0.8229440463839961,0.7402699562099149,0.7362187948104506,0.7687770761922175,0.7343773578106942,0.7049143658145914,0.8673749525185982,0.6395284667561617,0.6171185007611851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OD
sub-0457,0.9675028050351148,0.8274654861429531,0.9232977743214942,0.9473278677539584,0.8519964752196617,0.9248735181531312,0.8301029926690116,0.9083282079209424,0.890827130399476,0.8112636603400234,0.7428479680095739,0.8642992570588109,0.8712195718433322,0.9126615034579444,0.7446894050093302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS
sub-0480,1.3222774507366228,1.4240062200617631,1.4416595988469303,1.3679335156407606,1.6589108840404885,1.3165335528650408,1.3274991760744246,1.2025502609387606,1.1751136216287807,1.0291265531807876,1.1765038338105454,1.0140956377809631,1.348908249959412,1.2295137636751792,1.2487734084869069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OD
sub-0480,1.6885686616066788,1.3821019299941892,1.3979051613883982,1.3679335156407606,1.1460659625193952,1.0044925529421866,1.3842816860485627,1.2439584972839746,1.4222978285664245,1.2222913968707814,0.9426006362590476,1.2622520470593892,1.3076566197907775,1.1885523393858377,1.2444399884042678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS
